bassetId|title|where|onlineID
186|Miss Carew|ht|uiuo.ark+=13960=t2988m27n
189|Archie Lovell|ht|uc1.b3549034
190|Miss Forrester: A Novel|ht|njp.32101069165726
192|Kitty|ht|nyp.33433074939335
194|Ought We to Visit Her?|ht|nyp.33433034410518
195|The Flower of the Flock|ia|flowerofflock02egan
201|Meg|ia|meg02eilo
201|Meg|ht|uiuo.ark+=13960=t2c82nv48
204|Northern Roses: A Yorkshire Story|ia|northernrosesyor01elli
204|Northern Roses: A Yorkshire Story|ht|njp.32101066458710
207|Episodes in an Obscure Life: Being Experiences in the Tower Hamlets|gb|kPUBAAAAQAAJ
210|Erick Thorburn|gb|myECAAAAQAAJ
211|Macaria|pg|27811
211|Macaria|ht|dul1.ark+=13960=t03x91d07
218|Felix Holt, the Radical|pg|40882
220|By Birth a Lady: A Tale|pg|34142
220|By Birth a Lady: A Tale|ht|uiuo.ark+=13960=t3gx4pc1g
221|Mad: A Story of Dust and Ashes|pg|35367
222|The Sapphire Cross: A Novel|ia|sapphirecrossnov02fenn
222|The Sapphire Cross: A Novel|pg|32917
222|The Sapphire Cross: A Novel|ht|uiuo.ark+=13960=t6h13cz91
225|Love or Hatred: A Novel|gb|O74BAAAAQAAJ
226|Beauty Talbot|gb|XfQBAAAAQAAJ
227|Diana Gay: The History of a Young Lady|ia|dianagayorhistor02fitz
227|Diana Gay: The History of a Young Lady|ht|uiuo.ark+=13960=t2h70sk0j
229|Never Forgotten|gb|zW0oAAAAMAAJ
229|Never Forgotten|ht|nyp.33433075727374
230|The Second Mrs. Tillotson: A Story|gb|xtABAAAAQAAJ
230|The Second Mrs. Tillotson: A Story|ht|uiuo.ark+=13960=t3ws92630
231|Seventy-Five Brooke Street: A Story|gb|YeQBAAAAQAAJ
231|Seventy-Five Brooke Street: A Story|ia|seventyfivebrook01fitz
231|Seventy-Five Brooke Street: A Story|ht|uiuo.ark+=13960=t1hh6wp6s
232|The Dear Girl|gb|xdYBAAAAQAAJ
236|Folle Farine|vw|VAB7066
236|Folle Farine|ia|follefarine01ouid1
236|Folle Farine|ht|njp.32101067632271
241|Forgotten by the World|ht|nyp.33433074902598
245|Earl's Dene|ht|nyp.33433074855861
246|The Lost Manuscript: A Novel|pg|33857
246|The Lost Manuscript: A Novel|ht|njp.32101068571536
249|A Stormy Life: A Novel|ht|mdp.39015053137439
250|Constance Sherwood: An Autobiography of the Sixteenth Century|pg|40151
250|Constance Sherwood: An Autobiography of the Sixteenth Century|ht|nyp.33433074854245
251|Mrs. Gerald's Niece|ht|njp.32101068169406
252|Too Strange not to be True: A Tale|ht|njp.32101068169331
253|Down in Devon: A Pastoral|ia|downindevonpasto01full
253|Down in Devon: A Pastoral|ht|uiuo.ark+=13960=t0bv7vc5v
255|Time will Tell: A Story of Society|ia|timewilltellstor01full
255|Time will Tell: A Story of Society|ht|uiuo.ark+=13960=t24b3ft47
261|Sylvia's Lovers|ia|sylviaslovers01gask
261|Sylvia's Lovers|ht|nyp.33433074857354
264|For Lack of Gold: A Novel|ht|nyp.33433074857180
265|Robin Gray: A Novel|ia|robingraynovel01gibb
265|Robin Gray: A Novel|ht|uiuo.ark+=13960=t3611dm26
266|King's Baynard|ia|kingsbaynard01giff
266|King's Baynard|ht|uiuo.ark+=13960=t2s471w6g
267|Trials of an Heiress|ia|trialsofheiress01giff
267|Trials of an Heiress|ht|uiuo.ark+=13960=t55d96d7h
268|The Inquisitor: or, The Struggle in Ferrara. An Historical Romance|gb|wtAYAAAAYAAJ
268|The Inquisitor: or, The Struggle in Ferrara. An Historical Romance|ht|uiuo.ark+=13960=t63491h7p
269|The Landlord of the Sun: A Novel|ht|uc2.ark+=13960=t4hm57j35
270|Martha|gb|1vMBAAAAQAAJ
279|First Love and Last Love: A Tale of the Indian Mutiny|ht|nyp.33433074866173
280|The King's Own Borderers: A Military Romance|ia|kingsownborderer01gran
281|Lady Wedderburn's Wish: A Tale of the Crimean War|ia|ladywedderburnsw03gran
282|Only an Ensign: A Tale of the Retreat from Cabul|ia|onlyensigntaleof01gran
283|Second to None: A Military Romance|ht|nyp.33433074864392
284|The Girl He Married|ia|girlhemarriednov03gran
284|The Girl He Married|ht|njp.32101066460104
288|Treason at Home: A Novel|ia|treasonathomenov01gree
288|Treason at Home: A Novel|ht|uiuo.ark+=13960=t0zp4dz88
291|Good Society: or, Contrasts of Character|gb|Ue4BAAAAQAAJ
291|Good Society: or, Contrasts of Character|ht|nyp.33433044962961
292|Love's Sacrifice|gb|2OEBAAAAQAAJ
295|Valentine Forde: A Novel|ht|uc1.b3321870
296|Victory Deane: A Novel|ht|nyp.33433084129091
297|Guy Waterman: A Novel|ia|guywatermannovel03saun
297|Guy Waterman: A Novel|ht|uiuo.ark+=13960=t02z1vk3v
299|Wenderholme: A Story of Lancashire and Yorkshire|gb|q-YBAAAAQAAJ
299|Wenderholme: A Story of Lancashire and Yorkshire|ia|wenderholmestory02hame
299|Wenderholme: A Story of Lancashire and Yorkshire|pg|40874
299|Wenderholme: A Story of Lancashire and Yorkshire|ht|uiuo.ark+=13960=t1fj2vs1h
303|A Troubled Stream: A Story|gb|eccBAAAAQAAJ
304|Bright To-Morrow|gb|FCICAAAAQAAJ
305|A Hero's Work|ia|heroswork01hard
305|A Hero's Work|ht|uiuo.ark+=13960=t19k4r620
306|Daisy Nichol: A Novel|ht|nyp.33433074852942
311|Bitter Sweets: A Love Story|ia|bittersweets01hatt
311|Bitter Sweets: A Love Story|ht|uiuo.ark+=13960=t45q5d02h
312|The Tallants of Barton: A Tale of Fortune and Finance|ia|tallantsofbarton02hatt
312|The Tallants of Barton: A Tale of Fortune and Finance|ht|njp.32101068178837
320|Held in Bondage: or, Granville de Vigne. A Tale of the Day|ht|uc2.ark+=13960=t0ft8gt15
321|Helen Cameron: or, From Grub to Butterfly|gb|LvUBAAAAQAAJ
325|Hester's Sacrifice|gb|VMoBAAAAQAAJ
327|The Hidden Sin: A Novel|ht|nyp.33433074930797
329|A House of Cards: A Novel|ht|nyp.33433074868104
332|The King's Mail|gb|pfQBAAAAQAAJ
332|The King's Mail|ia|kingsmail03holl
334|Lesley's Guardians|ia|lesleysguardians02webs
335|Ethel's Romance: A Novel|gb|VdMBAAAAQAAJ
337|Captain Masters' Children: A Novel|ht|njp.32101018115053
338|A Golden Heart|ia|goldenheartnovel01hood
338|A Golden Heart|ht|uc1.b3123811
342|William Bathurst|ia|williambathurst01houg
344|Woodburn Grange: A Story|ia|woodburngrangest03howi
345|Idalia: A Romance|ht|wu.89099780850
348|Jabez Oliphant: or, The Modern Prince|ia|jabezoliphantorm03burr
349|James Gordon's Wife|gb|Y7kXAAAAYAAJ
350|Janita's Cross|gb|fwwCAAAAQAAJ
352|A Noble Woman|ia|noblewoman01jeaf
352|A Noble Woman|ht|uiuo.ark+=13960=t3ws9607w
353|Not Dead Yet|ht|nyp.33433074867403
360|Beatrice|ht|inu.32000007562046
361|Dora|ia|dora01kava
361|Dora|ht|uc2.ark+=13960=t6542qj1g
362|Queen Mab|ia|queenmab01kava
362|Queen Mab|ht|uiuo.ark+=13960=t2g73zr53
363|Silvia|ia|silvia03kava
363|Silvia|ht|nyp.33433074865340
364|Sybil's Second Love|ht|uc2.ark+=13960=t53f4rq8g
365|Oldbury|ht|uc2.ark+=13960=t1jh3fb9j
371|Mademoiselle Mathilde|ht|nyp.33433074877196
372|Silcote of Silcotes|ht|inu.32000009195985
373|Stretton: A Novel|ht|inu.32000009196025
374|The Hillyars and the Burtons: A Story of Two Families|ht|inu.30000048963809
388|Checkmate|pg|38460
388|Checkmate|ht|njp.32101067344661
390|Guy Deverell|ia|guydeverell01lefa
390|Guy Deverell|ht|uiuo.ark+=13960=t4jm2s372
392|The House by the Church-Yard|pg|17769
394|The Rose and the Key|ht|uc2.ark+=13960=t2b85893w
395|Uncle Silas: A Tale of Bartram-Haugh|pg|14851
395|Uncle Silas: A Tale of Bartram-Haugh|ht|uc1.b250127
396|Wylder's Hand: A Novel|pg|9983
396|Wylder's Hand: A Novel|ht|nyp.33433074861273
397|The Wyvern Mystery: A Novel|ht|uc1.b3579175
398|Falkner Lyle: or, The Story of Two Wives|ht|nyp.33433074878228
401|Loved at Last: A Story|ht|uiuo.ark+=13960=t3xs6716f
402|Wait for the End: A Story|ia|waitforendstory02lemo
402|Wait for the End: A Story|ht|uc1.b250130
405|The Bramleighs of Bishop's Folly|ia|bramleighsofbish02leve
405|The Bramleighs of Bishop's Folly|pg|32561
405|The Bramleighs of Bishop's Folly|ht|uc1.b250115
406|Sir Brook Fossbrooke|ia|sirbrookfossbroo03leve
406|Sir Brook Fossbrooke|ht|mdp.39015063939311
409|Grasp your Nettle: A Novel|ht|dul1.ark+=13960=t0ht3cn3c
410|Lizzie Lorton of Greyrigg|ht|nyp.33433074888979
411|Sowing the Wind: A Novel|ht|uiuo.ark+=13960=t2x359b2t
413|Lisabee's Love Story|gb|8RACAAAAQAAJ
413|Lisabee's Love Story|ia|lisabeeslovestor03beth
417|Sir Goodwin's Folly: A Story of the Year 1795|ia|sirgoodwinsfolly02lock
417|Sir Goodwin's Folly: A Story of the Year 1795|ht|uiuo.ark+=13960=t1sf3cb0v
420|Raised to the Woolsack|ia|raisedtowoolsack01lock
420|Raised to the Woolsack|ht|uiuo.ark+=13960=t4dn4np0h
421|Fair to See: A Novel|ia|fairtoseenovel03lock
421|Fair to See: A Novel|ht|uiuo.ark+=13960=t1zc8fb6b
425|Lords and Ladies|ht|uiuo.ark+=13960=t2m625324
431|My Enemy's Daughter: A Novel|ht|uc1.b156183
432|Adela Cathcart|ht|inu.30000047616838
433|Alec Forbes of Howglen|pg|18810
433|Alec Forbes of Howglen|ht|mdp.39015001805343
434|Annals of a Quiet Neighbourhood|ia|annalsofquietnei02macd
434|Annals of a Quiet Neighbourhood|pg|5773
434|Annals of a Quiet Neighbourhood|ht|njp.32101068600400
435|Guild Court: A London Story|ht|mdp.39015001781981
436|Robert Falconer|ia|robertfalconer01macd
436|Robert Falconer|pg|2561
436|Robert Falconer|ht|mdp.39015019783763
