id,when,sex,vols,counter
B408,T2,M,3,1
B409,T2,F,3,1
B410,T2,F,3,1
B411,T2,F,3,1
B412,T2,M,3,1
B413,T2,F,3,1
B414,T2,F,3,1
B415,T2,F,3,1
B416,T2,F,3,1
B417,T2,M,3,1
B418,T2,M,3,1
B419,T2,M,3,1
B420,T2,M,3,1
B421,T2,M,3,1
B422,T2,M,3,1
B423,T2,U,3,1
B424,T2,M,3,1
B425,T2,F,3,1
B426,T2,M,3,1
B427,T2,M,3,1
B428,T2,U,3,1
B429,T2,M,3,1
B430,T2,F,3,1
B431,T2,M,3,1
B432,T2,M,3,1
B433,T2,M,3,1
B434,T2,M,3,1
B435,T2,M,3,1
B436,T2,M,3,1
B437,T2,M,3,1
B438,T2,M,3,1
B439,T2,F,3,1
B440,T2,F,3,1
B441,T2,F,3,1
B442,T2,F,3,1
B443,T2,F,3,1
B444,T2,F,3,1
B445,T2,M,3,1
B446,T2,U,3,1
B447,T2,M,3,1
B448,T2,U,3,1
B449,T2,F,3,1
B450,T2,F,3,1
B451,T2,M,3,1
B452,T2,F,3,1
B453,T2,M,3,1
B454,T2,F,3,1
B455,T2,F,3,1
B456,T2,F,3,1
B457,T2,F,3,1
B458,T2,F,3,1
B459,T2,F,3,1
B460,T2,F,3,1
B461,T2,F,3,1
B462,T2,F,3,1
B463,T2,F,3,1
B464,T2,F,3,1
B465,T2,F,3,1
B466,T2,F,3,1
B467,T2,U,3,1
B468,T2,M,3,1
B469,T2,U,3,1
B470,T2,M,3,1
B471,T2,F,3,1
B472,T2,F,3,1
B473,T2,M,3,1
B474,T2,M,3,1
B475,T2,M,3,1
B476,T2,M,3,1
B477,T2,M,3,1
B478,T2,M,3,1
B479,T2,M,3,1
B480,T2,M,3,1
B481,T2,M,3,1
B482,T2,F,3,1
B483,T2,M,3,1
B484,T2,M,3,1
B485,T2,M,3,1
B486,T2,M,3,1
B487,T2,F,3,1
B488,T2,M,3,1
B489,T2,U,3,1
B490,T2,M,3,1
B491,T2,M,3,1
