genre_name	title_id
Character: Author	781
Sensation Novel	781
Character: Suicide	781
Character: Author	782
Sensation Novel	784
Sensation Novel	785
Bigamy Novel	786
Sensation Novel	786
Sensation Novel	787
Sensation Novel	788
Sensation Novel	789
Sensation Novel	790
Historical Novel: 19th Century	792
Silver-Fork Novel	792
Nautical Novel	795
Science Fiction	798
Short Stories	799
Sensation Novel	802
Science Fiction	802
Sensation Novel	805
Sensation Novel	810
Sensation Novel	811
Sensation Novel	813
Sensation Novel	820
Sensation Novel	823
Short Stories	824
Nautical Novel	829
Sensation Novel	830
Sensation Novel	833
Nautical Novel	835
Sensation Novel	837
Sensation Novel	838
Deceased Wife's Sister Novel	839
Sensation Novel	840
Sensation Novel	841
Sensation Novel	842
Sensation Novel	843
Sensation Novel	844
Character: Governess	849
Sensation Novel	851
Sensation Novel	853
Sensation Novel	854
Sensation Novel	858
Oxford World's Classics (2017)	864
Sensation Novel	870
Nautical Novel	881
Short Stories	882
Sensation Novel	886
Short Stories	888
Sensation Novel	889
Short Stories	891
Sensation Novel	894
Bigamy Novel	894
Character: Author	895
Sensation Novel	895
Broadview Editions (2017)	895
Sensation Novel	896
Antivivisection Fiction	896
Broadview Editions (2017)	896
Oxford World's Classics (2017)	896
Sensation Novel	897
Sensation Novel	899
Sensation Novel	901
Sensation Novel	904
Short Stories	905
Character: Author	907
Sensation Novel	909
Bigamy Novel	920
Penguin Classics (2016)	921
Penguin Classics (2016)	922
Oxford World's Classics (2017)	922
Penguin Classics (2016)	923
Bigamy Novel	923
Sensation Novel	924
Theatre Novel	925
Sensation Novel	925
University Novel	926
Sensation Novel	931
Sensation Novel	933
Sensation Novel	937
Sensation Novel	938
Sensation Novel	939
Sensation Novel	941
Sensation Novel	942
Short Stories	942
Sensation Novel	947
Sensation Novel	950
Detective Fiction	950
Detective Fiction	952
Short Stories	954
Detective Fiction	954
Sensation Novel	955
Sensation Novel	959
Detective Fiction	959
Military Fiction	961
South African Novel	962
Sensation Novel	962
African Novel	967
Sensation Novel	969
Sensation Novel	970
Sensation Novel	972
Short Stories	973
Sensation Novel	975
Sensation Novel	977
Sensation Novel	979
Sensation Novel	980
Sensation Novel	983
Bigamy Novel	983
Character: Author	988
Sensation Novel	989
Political Novel	994
Sensation Novel	996
Theatre Novel	1002
Sensation Novel	1002
Sensation Novel	1006
Bigamy Novel	1007
Short Stories	1008
Sensation Novel	1009
Theatre Novel	1010
Theatre Novel	1012
Sensation Novel	1013
Sensation Novel	1015
Character: Suicide	1017
University Novel	1017
Sensation Novel	1020
Sensation Novel	1024
Sensation Novel	1025
Bigamy Novel	1026
Sensation Novel	1027
Political Novel	1037
Short Stories	1038
Sensation Novel	1040
Character: Author	1042
Unfinished Serializations	1044
Sensation Novel	1046
Sensation Novel	1048
Character: Doctor	1051
Sensation Novel	1054
Bigamy Novel	1057
Sensation Novel	1064
West Indian Novel	1065
Sensation Novel	1067
Nautical Novel	1080
Sensation Novel	1082
Sensation Novel	1083
Bigamy Novel	1086
Character: Governess	1086
Detective Fiction	1086
Sensation Novel	1086
Bigamy Novel	1087
Theatre Novel	1091
Sensation Novel	1091
Bigamy Novel	1092
Sensation Novel	1094
Character: Author	1095
University Novel	1096
Social Problem Novel	1096
Slum Fiction	1096
Character: Gypsy	1097
Australian Novel	1097
Character: Author	1097
Nautical Novel	1098
Prison Novel	1099
Historical Novel: 18th Century	1099
Slum Fiction	1100
Short Stories	1103
Sensation Novel	1106
Sensation Novel	1111
Historical Novel: Medieval	1113
Bigamy Novel	1116
Sensation Novel	1119
Sensation Novel	1120
Sensation Novel	1123
Sensation Novel	1124
Sensation Novel	1127
Sensation Novel	1145
Bigamy Novel	1145
Sensation Novel	1146
Short Stories	1149
Historical Novel: 18th Century	1155
Sensation Novel	1156
Historical Novel: 17th Century	1157
Sensation Novel	1158
New Woman Novel	1159
Sensation Novel	1159
Character: Suicide	1159
Sensation Novel	1163
Sensation Novel	1165
Sensation Novel	1174
Sensation Novel	1178
Sensation Novel	1184
Sensation Novel	1186
Theatre Novel	1190
Sensation Novel	1193
Sensation Novel	1195
Bigamy Novel	1195
Sensation Novel	1196
Sensation Novel	1197
Historical Novel: 17th Century	1199
Indian Novel	1200
Indian Novel	1201
Bigamy Novel	1202
Sensation Novel	1207
Sensation Novel	1208
Sensation Novel	1209
Sensation Novel	1211
Sensation Novel	1212
Character: Author	1213
Sensation Novel	1225
Sensation Novel	1226
Indian Novel	1227
Indian Novel	1228
Indian Novel	1229
Indian Novel	1230
Sensation Novel	1233
Sensation Novel	1234
Sensation Novel	1236
Sensation Novel	1240
Sensation Novel	1246
Bigamy Novel	1255
Sensation Novel	1260
Sensation Novel	1261
Sensation Novel	1262
Short Stories	1270
Sensation Novel	1271
Sensation Novel	1272
New Woman Novel	1280
Character: Doctor	1280
Character: Artist	1281
Bigamy Novel	1286
Sensation Novel	1290
Detective Fiction	1290
Sensation Novel	1291
Sensation Novel	1293
Sensation Novel	1294
Sensation Novel	1297
Sensation Novel	1298
Sensation Novel	1306
Sensation Novel	1308
Bigamy Novel	1308
Sensation Novel	1310
Sensation Novel	1312
Bigamy Novel	1312
New Woman Novel	1317
Sensation Novel	1322
Sensation Novel	1325
Short Stories	1327
Sensation Novel	1330
Sensation Novel	1336
Bigamy Novel	1343
Slum Fiction	1346
Oxford World's Classics (2017)	1346
Slum Fiction	1348
Sensation Novel	1351
Sensation Novel	1355
Sensation Novel	1356
Circus Novel	1358
Sensation Novel	1360
Sensation Novel	1362
Bigamy Novel	1363
Sensation Novel	1365
Sensation Novel	1370
Sensation Novel	1371
Bigamy Novel	1376
Sensation Novel	1377
Historical Novel: 18th Century	1380
Sensation Novel	1384
Bigamy Novel	1385
Sensation Novel	1389
Short Stories	1394
Sensation Novel	1395
Sensation Novel	1396
Sensation Novel	1397
Short Stories	1397
Sensation Novel	1398
Short Stories	1398
Sensation Novel	1400
Detective Fiction	1400
Sensation Novel	1412
Sensation Novel	1415
Sensation Novel	1417
Sensation Novel	1427
Short Stories	1429
Sensation Novel	1430
Short Stories	1432
Historical Novel: Classical	1440
Sensation Novel	1441
Penguin Classics (2016)	1443
Oxford World's Classics (2017)	1443
Penguin Classics (2016)	1444
Sensation Novel	1445
Sensation Novel	1448
Theatre Novel	1450
Sensation Novel	1451
Sensation Novel	1454
Sensation Novel	1456
Sporting Novel	1470
Sensation Novel	1472
Sensation Novel	1479
Sensation Novel	1480
Theatre Novel	1481
Sensation Novel	1483
New Woman Novel	1493
Character: Governess	1493
Sensation Novel	1496
Bigamy Novel	1498
Bigamy Novel	1501
Sensation Novel	1508
Short Stories	1509
Political Novel	1511
Sensation Novel	1511
Historical Novel: 17th Century	1515
Sensation Novel	1520
Sensation Novel	1533
Sensation Novel	1536
Sensation Novel	1538
Sensation Novel	1539
Sensation Novel	1540
Sensation Novel	1541
Sensation Novel	1545
University Novel	1548
Sensation Novel	1548
Sensation Novel	1561
Science Fiction	1561
Character: Artist	1568
Sensation Novel	1573
Character: Suicide	1574
Short Stories	1575
Sensation Novel	1577
Sensation Novel	1580
Bigamy Novel	1581
Short Stories	1592
Antivivisection Fiction	1595
Sensation Novel	1603
Sensation Novel	1604
Canadian Novel	1606
Sensation Novel	1626
Sensation Novel	1633
Australian Novel	1636
Sensation Novel	1636
Australian Novel	1637
University Novel	1644
Sensation Novel	1645
Sensation Novel	1650
Christmas Books	1651
Sensation Novel	1653
Sensation Novel	1655
Sensation Novel	1657
Short Stories	1658
Historical Novel: Classical	1662
Science Fiction	1662
Sensation Novel	1663
Sensation Novel	1664
Indian Novel	1665
Indian Novel	1665
Sensation Novel	1669
Sensation Novel	1670
New Woman Novel	1671
Bigamy Novel	1675
Sensation Novel	1677
Sensation Novel	1679
Circus Novel	1693
Sensation Novel	1693
Sensation Novel	1697
Sensation Novel	1704
Sensation Novel	1708
Sensation Novel	1712
Bigamy Novel	1712
Sensation Novel	1717
Sensation Novel	1719
Sensation Novel	1720
Nautical Novel	1723
Nautical Novel	1724
Nautical Novel	1725
Nautical Novel	1726
Nautical Novel	1727
Nautical Novel	1728
Nautical Novel	1730
Nautical Novel	1731
Sensation Novel	1734
Sensation Novel	1746
Sensation Novel	1750
Short Stories	1751
Australian Novel	1753
Sensation Novel	1756
Bigamy Novel	1762
Short Stories	1763
Sensation Novel	1765
Sensation Novel	1766
Sensation Novel	1767
Sensation Novel	1772
Sensation Novel	1773
Character: Doctor	1773
West Indian Novel	1773
Political Novel	1774
Russian Novel	1774
Indian Novel	1777
Sensation Novel	1779
Sensation Novel	1780
Sensation Novel	1781
Sensation Novel	1782
Sensation Novel	1783
Sensation Novel	1784
Bigamy Novel	1785
Sensation Novel	1786
Sensation Novel	1791
Deceased Wife's Sister Novel	1793
Sensation Novel	1793
Theatre Novel	1794
Russian Novel	1794
Bigamy Novel	1799
Sensation Novel	1800
Sensation Novel	1801
Sensation Novel	1802
Sensation Novel	1803
Australian Novel	1804
Sensation Novel	1813
Bigamy Novel	1815
Sensation Novel	1816
Sensation Novel	1821
Historical Novel: Elizabethan	1823
Character: Gypsy	1824
Historical Novel: 18th Century	1826
Indian Novel	1827
Sensation Novel	1828
University Novel	1835
Sensation Novel	1835
Circus Novel	1836
Sensation Novel	1836
Sensation Novel	1837
Sensation Novel	1839
Sensation Novel	1840
Indian Novel	1841
Sensation Novel	1843
Sensation Novel	1846
Bigamy Novel	1846
Sensation Novel	1849
University Novel	1852
Historical Novel: 17th Century	1853
Sensation Novel	1856
Sporting Novel	1859
