clarestrong|Fitzgerald
clemencyfranklyn[anovel]|Keary
clevehall|Sewell
cloudesley|Godwin
clumberchase|Scott
colinclink|
colonelenderbyswife|Malet
colonelquaritchvc|Haggard
colvilleoftheguards|Grant
comedyofacountryhouse|Sturgis
cominthrotherye|Mathers
comingout|
compensation|Chatterton
comptonaudley|Lennox
concealment|
confessionsofathug|Taylor
confessionsofanoldmaid|Carrington
constance|Thomson
constancedoyleyatale|Wallace
constancerivers|Barrett Lennard
constancyandcontrition|
contarinifleming|Disraeli
contesdemissedgeworthdédiésàlajeunesse|Edgeworth
continentaladventuresanovel|Eaton
contraband|Whyte-Melville
contrast|
corasmin|Murray
cornishdiamonds|Godfrey
corsedeleon|James
cottagedialoguesamongtheirishpeasantry|
couldhedobetter|Hoffmann
countkönigsmark|Chamier
counterpartsorthecrossoflove|Sheppard
countrycoteries|Chatterton
countryhouses|Moore
countrylandlords|Beale
countryquarters|
countrystoriesoldandnew|Lee
countyversuscounter|Monro
courtroyal|Baring-Gould
courtleroy|Beale
courtshipinseventeenhundredandtwentyineighteenhundredandsixty|Smart
cousingeoffreytheoldbacheloranoveltowhichisaddedclaudestocq|
cousingeorgeandothertales|Walker
cousinstella|
cousins|Walford
creaturesofcircumstanceanovel|Hutchinson
creaturesofclay|Greville
crichton|Ainsworth
crimcon|Moriarty
crispinken|Robins
cromwelldoolanorlifeinthearmy|Levinge
crosscurrents|Dickens
crosspurposes|Sinclair
crownharden|Fuller
crsusswidow|Russell
cruelfortune|Clayton
crumbsfromasportsmanstable|Clarke
cuttingforpartners|Jeaffreson
cynthiaadaughterofthephilistines|Merrick
cyrilla|Tautphoeus
daireen|Moore
damerebeccaberry|Spence
danieldennisonandthecumberlandstatesman|Hofland
danielderonda|Eliot
darien|Warburton
darnley|James
daughtersanovel|Grey
davenportdunn|Lever
davidarmstrongorbeforethedawn|
davidcopperfield|
dawnandtwilight|Hopton
defoix|Bray
delorme|James
delisleorthesensitiveman|Grey
demontfortortheoldenglishnobleman|Munro
devere|Ward
deadmensshoes|Braddon
deadseafruit|Braddon
debenhamsvow|Edwards
decision|Harding
deepwaters|Drury
deerbrook|Martineau
delamere|Curzon
delaware|James
delmoreormodernfriendshipanovel|Roberts
deloraine|Godwin
demos|Gissing
denise|Roberts
dervalhampton|Grant
desperateremedies|
despotism|Disraeli
destiny|Ferrier
diamondcutdiamond|Trollope
diana|Craik
dianagay|Fitzgerald
dianatempest|Cholmondeley
dianawentworthanovel|Fothergill
diaryandnotesofhoracetempletonesqlatesecretaryoflegationat|Lever
dickswandering|Sturgis
didshelovehimanovel|Grant
dilemmasofpride|
dimplethorpe|Tabor
dina|Wilkie
display|Maberly
doctoraustinsguests|Gilbert
doctorvictoria|
domesticscenes|
donjohn|Ingelow
donraphaelaromance|Walker
donsebastian|Porter
donaldmonteiththehandsomestmanoftheage|Davenport
donaldrossofheimra|
dora|Kavanagh
dorcas|Craik
dorinda|Munster
dorothyfirebrace|Robinson
dorothyforster|Besant
dorothysdouble|Henty
douglas|Bisset
downindevon|Fullom
downthewayanovel|Stanford
drsinclairssister|Grey
drwainwrightspatient|Yates
dragonsteeth|
dramaticstories|Arnold
driftedtogether|Mexborough
drivenbeforethestorm|Forde
driventobayanovel|Lean
dudley|O'Keeffe
dulcibel|Hayward
dulciecarlyon|Grant
dumaresqsdaughter|Allen
dumbletoncommon|Eden
dunallan|Kennedy
dunallanorknowwhatyoujudgeastory|Kennedy
dunsanyanirishstory|
dunstercastle|Hewlett
dustbeforethewind|Crommelin
dutyandinclination|
dutyanovel|
dynevorterraceortheclueoflife|Yonge
dynevorterrace|Yonge
earlystruggles|Crawford
eastlynne|Wood
eastandwestoronceuponatime|Corkran
edgar|Appleton
edina|Wood
edithvernonorcontrastsofcharacter|Elton
edwardwilloughby|Ponsonby
edwardwortleymontaguanautobiography[ficious]|Kenealy
eglantine|
eleanorsvictory|Maxwell
elischildrenthechroniclesofanunhappyfamily|Fenn
elizabethedenanovel|Bishop
elizabethdebruce|Johnstone
ella|Lambert
ellenmiddleton|Fullerton
ellenpercy|Reynolds
elsiesmarriedlife|Daniel
emiliawyndham|Marsh-Caldwell
emiliainengland|Meredith
emilyamoraltaleincludinglettersfromafathertohisdaughteruponthemostimportantsubjects|Kett
emma|
emmadelissau|Bristow
entrancedwithadream|Rowlatt
ernestmaltravers|Lytton
ernestsingleton|Armitage
ernestvane|Lamington
errant|Greg
esthervanhomrigh|Woods
ethelchurchillorthetwobrides|L. E. L. (Letitia Elizabeth Landon)
ethelwoodvilleorwomansministry|Hollings
eugenia|Hardinge
eugénietheyounglaundressofthebastille|De La Voye
eunice|Harley
euphroniaorthecaptive|Norris
eustacefitzrichardataleofthebaronswars|
evadesmondormutation|
evastclairandothercollectedtales|James
evanharrington|Meredith
evelinaorthehistoryofayoungladysintroductiontotheworld|
evelina|Burney
evelynharcourtanovel|Gascoigne
evelynmarston|Marsh-Caldwell
excitement|
eyessoblue|Law
eyresacquittal|Mathers
floratheromanmartyr|
facesforfortunes|Mayhew
fairrosamondorthedaysofkinghenryii|Miller
fairandfree|
fairoaksortheexperiencesofarnoldosbornemd|Lyle
fairtosee|Lockhart
fairerthanafairy|Grant
falknerlyleorthestoryoftwowives|Lemon
fallenfortunes|Payn
falsecolours|Thomas
falsepositionsorsketchesofcharacter|
familyfailings|Fisher
familysecrets|Ellis
fancyfree|Gibbon
faraboverubiesanovel|Riddell
farfromthemaddingcrowd|Hardy
farmerjohn|Holmes
farnorth|Kennedy
fascinationandothertales|Gore
fatalrevengeorthefamilyofmontorio|Maturin
fatalzeroadiarykeptathomburg|Fitzgerald
fatherconnell|
fathergodfrey|Douglas
fatherlessfannyorthememoirsofalittlemendicantandherbenefactors|Reeve
fathersandsons|Hook
faucitofballiol|Merivale
faucitofballiolastoryintwoparts|Merivale
fawnofsertorius|Landor
feliciasdowry|Okeden
fenacregrangeanovel|Cecil
fentonsquest|Braddon
fernleymanor|Daniel
ferrers|Ollier
feudaltyrants|
fidesorthebeautyofmayence|Wraxall
fiesole|Ley
firstlove|Loudon
fitzoffitzford|Bray
fitzallan|Huish
fitzgeorge|Sterling
fivehundredpoundsrewardanovel|Wigram
flirtsandflirts|
floraadairorloveworkswonders|Donelan
florenceortheaspirant|Robertson
florencethebeautiful|Lamington
foiled|Henniker
follefarine|Ouida
follymorrison|Barrett
forliliasanovel|Carey
forakinganhistoricalromance|Sharowood
forandagainst|Wilbraham
forcashonly|Payn
forkingandkent(1648)|Colomb
forloveandlife|Oliphant
forbiddentomarry|Banks
forestandgamelawtales|Martineau
forestdays|James
forestofmontalbano|Cuthbertson
forgetmenots|Kavanagh
forgottenlives|Notley
formanatale|
fortitudeandfrailty|Holcroft
fortuneswheelanovel|Shand
fortyyearsintheworld|Wallace
foundwanting|Alexander
fourlincolnfirsts|
francescacarrara|L. E. L. (Letitia Elizabeth Landon)
frankallerton|Mongredien
frankraleighofwatercombeataleofsportloveandadventure|Davies
franksinclairswifeandotherstories|Riddell
fredaanovel|Hart
frederickhazzleden|Westbury
frederickdemontford|Goulburn
freidathejongleur|Hemphill
frestontowerortheearlydaysofcardinalwolsey|Cobbold
frevillechase|Dering
friendperditusanovel|Tennyson
friendsattheirownfireside|Ellis
friendshipastory|Ouida
frommoorisles|Fothergill
fromgenerationtogeneration|Noel
fromonegenerationtoanother|Scott
fromposttofinish|Smart
fromthepeasantrytothepeerage|
fromtheploughtothepulpitviacambridge|Church
frostandthaw|Boyce
gabriellestuartortheflowerofgreenan|Reid
galemiddleton|Smith
gastonbligh|Lavenu
gastondeblondevilleorthecourtofhenryiiikeepingfestivalinardennearomancestalbansabbeyametricaltale|Radcliffe
gaythornehall|Fothergill
gehenna|Wingfield
generalbounce|Whyte-Melville
gentlemanjack|Grey
georgecanterburyswillanovel|Wood
georgehernanovel|Glemham
georgevyvian|
georgethethird|Mangin
gerald|Price
geraldhastingsofbarton|
geraldandhisfriendthedoctor|Solly
geraldsordeal|Murray
geraldine|
geraldine|Mackenzie
geraldinefauconberg|Burney
geraldinefauconberg|
geraldinehamiltonorselfguidance|
geraldineofdesmondorirelandinthereignofelizabeth|Crumpe
geraldineormodesoffaithandpractice|Mackenzie
gerardortheworldthefleshandthedevil|Braddon
gertrude|Sewell
gertrudecameron|Daniel
gideonfleyce|Lucy
gilbertgurney|Hook
giuliomalatesta|Trollope
glamour|D'Avigdor
glenarvon|Lamb
glencairn|Hardy
glenlonely|De Merle
godandtheman|Buchanan
godsfool|Maartens
godsprovidencehouse|Banks
goddessesthree|Pryce
godfreyhelstoneanovel|Craik
godivadurleigh|Doudney
godolphinanovel|Lytton
godwynsordeal|Spender
goldengirls|Muir
goodfornothing|Whyte-Melville
gothaormemoirsofthewurtzburgfamilyfoundedonfacts|S*****
grace|Turner
gracecassidyortherepealers|Blessington
gracelee|Kavanagh
grahamaspenpainter|Halse
granby|Lister
grania|Lawless
granthamsecretsanovel|Feilden
grantleygrange|Beauchamp
grasvilleabbey|Moore
greatexpectations|Dickens
greatheart|Thornbury
greenpasturesandpiccadilly|Black
grevilleoraseasoninparis|Gore
greymore|Church
griselromney|Fraser-Tytler
griselda|Diehl
grislygrisell|Yonge
guardshussarsandinfantry|
guilderoy|Ouida
gurneymarried|Hook
guydeverell|Le Fanu
guyfawkesorthegunpowdertreason|
guymannering|Scott
guymervyn|Barclay
guywaterman|Saunders
gwenwynn|Reid
gwenorthecousins|Goodrich
gwendolinesharvestanovel|
hacothedreamer|Sime
hagar|Tabor
halfamillionofmoney|Edwards
halvesanovel|Payn
hamiltonkingorthesmugglerandthedwarf|Old Sailor
handleycross|Surtees
happiness|
hardlines|Smart
hardenhallorthethreeproposals|
hardenbrassandhaverill|Jones
hardingthemoneyspinner|Keon
hargraveortheadventuresofamanoffashion|Trollope
haroldtheexileinthreevolumes|
haroldthelastofthesaxonkings|Lytton
harryegertonortheyoungersonoftheday|Tottenham
harryjoscelyn|Oliphant
harrymuir|Oliphant
harrymuir|
harryandlucyconcluded|
hassan|Murray
hathercourtrectory|Molesworth
havingandholding|Panton
hawkstone|Sewell
hethatwillnotwhenhemay|Oliphant
heartandscience|Collins
heartofoak|Russell
hearts|Murray
heavilyhandicapped|Holtzmeyer
heidelbergaromance|James
helencameron|
helentreveryan|Durand
henriettatemplealovestory|Disraeli
henryacton|Sayers
henrydunbar|Braddon
henrymasterton|James
henrysmeaton|James
henrydepomefreyortheeveofstjohn|Bray
henryofguise|James
herdignityandgrace|
herfacewasherfortune|Robinson
hertwomillions|Westall
heraline|Hawkins
herbertchauncey|Elton
herbertlacy|Lister
herbertmilton|White
herbertlodge|Warner
herewardthewake|Kingsley
hermanoryoungknighthood|Foxton
hermannagha|Palgrave
hester|Oliphant
hesterssacrifice|Tabor
hevercourt|Arnold
hiddenlinksortheschoolfellows|Liddell
highandlow|Coke
highlife|Burdett
highwaysandbywaysortalesoftheroadside|Grattan
highwaysandbyways|Grattan
highlandcousins|Black
hilarystives|Ainsworth
hildebrandorthedaysofqueenelizabeth|
hisgrace|Norris
hiscousinadair|Roy
historyofgeorgegodfrey|Gaspey
hoistwithherownpetard|Lucas
homethehomeless|Caddell
homeinfluence|Aguilar
homeortheironrule|Ellis
homeanovel|Cullen
honestyisthebestpolicyanovel|Peel
honorcarmichael|
honoroharaanovel|Porter
honoursworthorthecostofavow|Orred
hooksofsteel|Lewis
hope|Cole
hopemeredith|Tabor
hopesandfears|Yonge
horacegrantham|Horrocks
horacevernon|
hostagestofortune|Braddon
howtheylovedhim|Marryat
howwillitend|Strickland
hughcrichtonsromance|Coleridge
hughmoore|Stone
hulsehouse|
hungariantales|Gore
hurrish|Lawless
husbandhuntingorthemotheranddaughters|S--l J--n
hydemarston|Carleton
hydenugent|
isayssaysi|Nares
icebound|Thornbury
idolatryaromance|Hawthorne
ifmenwerewise|Shew
illinoisbusinessreview|
illustrationsofhumanlife|Ward
illustrationsofpoliticaleconomy|Martineau
inhermajestyskeeping|Wingfield
inlondontownanovel|Jenner
inmaremmaastory|Ouida
inaglassdarkly|Le Fanu
inasilversea|Farjeon
inallshades|Allen
inbadhandsandothertales|Robinson
inexchangeforasoul|Linskill
inexituisrael|Baring-Gould
infarlochaber|Black
inhonourbound|Gibbon
inlettersofgold|Hake
inloveandwar|Gibbon
inlowrelief|Roberts
inonetownanovel|Downey
inopposition|Blackburne
insecretplacesanovel|Griffiths
insightofland|Hardy
inthedeadofnightanovel|Speight
inthefaceoftheworld|St. Aubyn
intheoldpalazzo|Forde
inthering|Tinsley
intheroarofthesea|Baring-Gould
inthesuntimeofheryouth|Whitby
inthewestcountrie|Crommelin
intrust|Oliphant
indianacoverletsandcoverletweavers|Rabb
ingelheim|Butt
innesofblairavon|Middleton
innocent|Oliphant
interference|Croker
iris|Randolph
irkdaleortheoddhouseinthehollow|Brierly
isitforever|Mainwaring
isabelclarendon|Gissing
isabelstalbeorviceandvirtue|Crumpe
isabellaanovel|Moore
isntitodd|Merrywhistle
israelmortoverman|Saunders
itisnevertoolatetomend|Reade
itisnowonder|Molloy
itmaybetrue|Wood
ivandebiron|Helps
ivy|Greg
jabezoliphant|Burrow
jackdoylesdaughter|Francillon
jacksheppard|
jackwarleigh|Belgrave
jackwestropp|
jackscourtship|Russell
jacquelineofholland|Grattan
jameshatfieldandthebeautyofbuttermere|
jameshatfieldandthebeautyofbuttermere|Cruikshank
jameswoodford|Solly
janelomax|Smith
janededunstanvilleorcharactersastheyare|Kelly
janetschoice|Phillpotts
janetorglancesathumannature|
janitascross|Tabor
jean|Newman
jeaniesquietlife|Tabor
jedwoodjustice|De Fonblanque
jessietrim|Farjeon
jessieofboulogneorthehistoryofafewminutes|Gillmor
jessiesexpiationanovel|Austin
jessy|
jezebelsdaughter|Collins
jill|Dillwyn
jiltedormyunclesschemeanovel|Russell
johnherring|Baring-Gould
johninglesant|Shorthouse
johnmaidment|Sturgis
johnandi|Betham-Edwards
johndelancasteranovel|Cumberland
johnofenglandanhistoricalromance|Curling
johnalovestory|Oliphant (Margaret) Mrs
johnnyludlow|Wood
johnnyrobinson|Wright
jonathanswift|
josephjenkinsorleavesfromthelifeofaliteraryman|Grant
josephwilmotorthememoirsofamanservant|
josephscoat|
joshuahaggardsdaughter|Braddon
judithwynne|Pirkis
juliadevienne|
juliankarslakessecret|Needell
juliet|Carter
julietslovers|Collins
karahkaplan|Savile
katevernon|Alexander
katharineashton|Sewell
kathiebrande|Lee
keithswifeanovel|Greville
kilcorran|Fetherstonhaugh
kilmeny|Black
kingofthecastle|Fenn
kingsbaynard|Gifford
kingscope|
kingsconnellatale|Gordon
kingsdene|Fetherstonhaugh
kirsteen|Oliphant
kit|Payn
kittyaloneastoryofthreefires|Baring-Gould
knighterrant|
labellemariearomance|Kettle
lafamilledemourtraytraductiondelanglais|
labellesauvageoraprogressthroughthebeaumondeanovelintwovolumes|Lyttleton
lafamilleelliotoulancienneinclination|Austen
lavieetlesaventuressurprenantesderobinsoncrusoé|
ladyannegranardorkeepingupappearances|L. E. L. (Letitia Elizabeth Landon)
ladyaudleyssecret|Braddon
ladybell|Tytler
ladybluebeard|Curwen
ladygraceandotherstories|Wood
ladygrizelanimpressionofamomentousepoch|Wingfield
ladylaura|Christie
ladyleeswidowhood|Hamley
ladylowaterscompanion|Tabor
ladymaclairn|Hunter
ladymerton|Heywood
ladyselinaclifford|Dormer
ladystellaandherlover|Solly
ladyvaleria|Moberly
ladywedderburnswish|Grant
landahead|Grant
landatlast|Yates
landsharksandseagulls|
langhtonpriory|Meeke
lascare|Tregenna
lauraerle|
lauragay|
lauterdale|Fogerty
lavengro|Borrow
